iter	Passed	Remaining
0	5	5068
1	11	5684
2	16	5374
3	18	4691
4	23	4725
5	28	4684
6	33	4768
7	37	4662
8	43	4810
9	50	4999
10	53	4778
11	59	4906
12	63	4811
13	68	4790
14	71	4675
15	76	4676
16	83	4801
17	90	4932
18	96	4963
19	101	4961
20	105	4928
21	110	4933
22	115	4905
23	119	4855
24	123	4831
25	126	4732
26	127	4598
27	129	4496
28	133	4454
29	135	4395
30	139	4348
31	141	4284
32	145	4274
33	150	4262
34	154	4257
35	158	4250
36	162	4240
37	165	4195
38	167	4135
39	171	4125
40	176	4118
41	180	4110
42	182	4065
43	186	4045
44	188	3990
45	190	3943
46	194	3939
47	198	3937
48	201	3904
49	204	3889
50	209	3890
51	214	3915
52	218	3900
53	223	3913
54	228	3928
55	234	3951
56	238	3950
57	243	3947
58	246	3928
59	248	3893
60	251	3868
61	255	3867
62	260	3870
63	264	3861
64	266	3828
65	270	3826
66	273	3810
67	280	3841
68	286	3863
69	292	3879
70	296	3878
71	298	3846
72	301	3829
73	304	3812
74	306	3781
75	310	3769
76	314	3768
77	320	3790
78	324	3786
79	335	3859
80	340	3862
81	348	3900
82	352	3898
83	357	3896
84	361	3893
85	366	3890
86	370	3890
87	380	3943
88	383	3925
89	388	3924
90	390	3902
91	393	3885
92	398	3886
93	404	3898
94	410	3906
95	413	3896
96	419	3908
97	425	3912
98	430	3914
99	435	3916
100	439	3910
101	451	3978
102	458	3993
103	463	3994
104	472	4028
105	475	4010
106	477	3983
107	479	3961
108	483	3955
109	486	3939
110	494	3964
111	502	3986
112	504	3962
113	509	3957
114	513	3951
115	515	3929
116	517	3907
117	520	3889
118	530	3928
119	535	3927
120	540	3928
121	545	3925
122	549	3920
123	554	3914
124	558	3910
125	560	3890
126	563	3874
127	565	3853
128	569	3847
129	574	3842
130	582	3861
131	584	3842
132	586	3822
133	588	3802
134	592	3797
135	597	3795
136	601	3791
137	606	3791
138	611	3787
139	616	3785
140	621	3788
141	624	3773
142	628	3764
143	633	3763
144	639	3772
145	642	3755
146	647	3755
147	652	3754
148	657	3755
149	660	3744
150	670	3770
151	673	3756
152	677	3751
153	680	3737
154	683	3728
155	689	3730
156	697	3746
157	702	3744
158	704	3727
159	708	3721
160	715	3729
161	719	3724
162	722	3711
163	728	3711
164	732	3707
165	737	3707
166	742	3705
167	745	3693
168	750	3690
169	753	3677
170	757	3672
171	761	3665
172	764	3655
173	768	3649
174	772	3641
175	777	3641
176	780	3629
177	784	3623
178	787	3612
179	792	3609
180	798	3613
181	803	3610
182	806	3599
183	810	3593
184	815	3593
185	820	3591
186	826	3591
187	833	3601
188	837	3592
189	839	3578
190	841	3563
191	846	3563
192	851	3560
193	854	3551
194	859	3548
195	864	3545
196	865	3528
197	868	3517
198	873	3514
199	880	3522
200	885	3518
201	892	3525
202	894	3510
203	896	3496
204	898	3485
205	901	3472
206	908	3480
207	921	3507
208	927	3511
209	932	3508
210	941	3520
211	947	3520
212	951	3516
213	961	3532
214	969	3539
215	972	3531
216	977	3525
217	978	3511
218	983	3507
219	988	3503
220	990	3491
221	997	3496
222	1002	3492
223	1009	3497
224	1011	3484
225	1013	3470
226	1017	3466
227	1023	3463
228	1025	3452
229	1029	3446
230	1036	3450
231	1038	3438
232	1044	3438
233	1052	3446
234	1058	3444
235	1061	3435
236	1063	3423
237	1068	3420
238	1072	3413
239	1077	3410
240	1081	3407
241	1086	3403
242	1092	3403
243	1096	3398
244	1102	3397
245	1108	3397
246	1113	3394
247	1119	3393
248	1123	3389
249	1131	3393
250	1136	3391
251	1140	3385
252	1142	3371
253	1148	3372
254	1152	3365
255	1157	3364
256	1164	3365
257	1169	3362
258	1174	3361
259	1178	3354
260	1182	3347
261	1188	3348
262	1196	3353
263	1200	3346
264	1202	3336
265	1207	3330
266	1211	3325
267	1214	3317
268	1216	3306
269	1221	3302
270	1224	3294
271	1226	3283
272	1231	3280
273	1233	3269
274	1237	3263
275	1241	3256
276	1243	3246
277	1247	3240
278	1252	3237
279	1254	3226
280	1259	3222
